OWNER;VIEW_NAME;db_source;dba_mviews;dba_views;programacion mview;no bbdd;QLIK;Enfoque Analitico Fase II;Modelos;DMS ORS RECC y Stock;ROutDMS;DM Garantias Vaesa;DM PBS;Equipamiento de Taller;DM_IMG_VAESA;Reporting Postventa;Analisis Actividad Postvenrta;Analisis Pago Rapeles;IDIS Autopart;Seguimiento Compras;Validacion Rapeles;SAP BO;no dashboard;ELIMINAR
DM_VENTAS;STG_SLI_PLANIFICACION_MV_2;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
DM_VENTAS;STG_SLI_PLANIFICACION_MV_BK;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
DM_VENTAS;STG_SLI_PLANIFICACION_MV2;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;MV_COEM_DAILY_REPORT_SLIA;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;MV_COEM_FACT_AES_DAILY_V2;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;MV_COEM_FACT_AES_DAILY_V3;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;MV_COEM_FACT_ORDER_AAK_2016;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;MV_COEM_FACT_ORDER_AAK_2017;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;MV_COEM_FACT_ORDER_AAK_BK;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;MV_COEM_FACT_ORDER_AAK_HIST_V2;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
ETL_CLIENTES;MV_ENTREGAS_VEHIC_TNS_MODF;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
ETL_CLIENTES;MV_ENTREGAS_VEHIC_TNS_SIMABR;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
MAESTROS_DWH;MV_DIM_VEHICULOS_BPM;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
ODS_CLIENTES;MV_SASYS_PEDIDOS_BDC_06;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
ODS_CLIENTES;MV_SASYS_PEDIDOS_BDC_13;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
ODS_CLIENTES;MV_SASYS_PEDIDOS_BDC_20141202;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
ODS_CLIENTES;MV_SASYS_PEDIDOS_BDC_2901;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
ODS_CLIENTES;XMV_SASYS_PEDIDOS_BDC_;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
ODS_CLIENTES;ZZH1_MV_SASYS_PEDIDOS_BDC;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
ODS_CLIENTES;ZZH2_MV_SASYS_PEDIDOS_BDC;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;1
CLIMAWEB;MVIEW_ODS_FACTURACION;0;0;0;1;1;0;;;;;;;;;;;;;;;0;0;0
DM_VENTAS;STG_SLI_PLANIFICACION_MV;1;1;1;1;1;0;;;;;;;;;;;;;;;0;0;0
DWH_VAESA;MV_COEM_DIM_MODEL_GROUP;1;0;0;1;1;0;;;;;;;;;;;;;;;0;0;0
DWH_VAESA;MV_COEM_DIM_PRODUCT_V2;1;0;0;1;1;0;;;;;;;;;;;;;;;0;0;0
DWH_VAESA;MV_COEM_DIM_REGION;1;0;0;1;1;0;;;;;;;;;;;;;;;0;0;0
DWH_VAESA;MV_COEM_FACT_AES;1;1;1;1;1;0;;;;;;;;;;;;;;;0;0;0
DWH_VAESA;MV_COEM_FACT_AES_DAILY;0;1;0;0;1;0;;;;;;;;;;;;;;;0;0;0
DWH_VAESA;MV_COEM_FACT_ORDER_AAK;1;1;1;1;1;0;;;;;;;;;;;;;;;0;0;0
MAESTROS_DWH;DIM_VEHICULOS_ANFAC;1;0;1;1;1;0;1;;;;;;;;;;;;;;1;1;0
MAESTROS_DWH;DIM_VEHICULOS_BPM;0;1;0;1;1;0;;;;;;;;;;;;;;;1;1;0
ODS_CLIENTES;MV_SASYS_PEDIDOS_BDC;1;1;0;0;1;0;;;;;;;;;;;;;;;0;0;0
ODS_CLIENTES;MV_SASYS_PEDIDOS_BDC_B;1;0;0;0;1;0;;;;;;;;;;;;;;;0;0;0
ODS_CLIENTES;MV_SASYS_PEDIDOS_BDC2;1;0;0;0;1;0;;;;;;;;;;;;;;;0;0;0
ODS_CLIENTES;MV_SLI_COLORES_EXTERNOS;1;0;1;1;1;0;;;;;;;;;;;;;;;0;0;0
ODS_CLIENTES;MV_SLI_COLORES_INTERNOS;1;0;1;1;1;0;;;;;;;;;;;;;;;0;0;0
ODS_CLIENTES;MV_SLI_OPCIONALES;1;0;1;1;1;0;;;;;;;;;;;;;;;0;0;0
