OWNER;VIEW_NAME;db_source;dba_mviews;dba_views;no bbdd;QLIK;Enfoque Analitico Fase II;Modelos;DMS ORS RECC y Stock;ROutDMS;DM Garantias Vaesa;DM PBS;Equipamiento de Taller;DM_IMG_VAESA;Reporting Postventa;Analisis Actividad Postvenrta;Analisis Pago Rapeles;IDIS Autopart;Seguimiento Compras;Validacion Rapeles;SAP BO;no dashboard;ELIMINAR
CLIMAWEB;VIEW_ODS_COCHES;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
CLIMAWEB;VIEW_ODS_HOMOLOGACIONES;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;V_FPL_COALIGADOS;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;V_FPL_COALIGADOS_Z;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;DIM_FABRICAS;0;0;0;1;1;;;;;;;;;;;;;;;0;1;0
DWH_VAESA;VSC_DIM_HOMOLOG;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;VSC_DM_F_VN_CAVA;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;V_DSH_TRANS_OBJ_RAC;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;V_DSH_TRANS_OBJ_VN_RAC;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;V_SDC_EXT_GARANTIAS_AGR_OBJ;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;V_SDC_EXT_GARANTIAS_AGR_VAL;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;V_SDC_EXT_GARANTIAS_OBJ;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;V_SDC_EXT_GARANTIAS_VAL;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;V_SDC_PAQUETES_MANT_AGR_OBJ;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
DWH_VAESA;V_SDC_PAQUETES_MANT_AGR_VAL;0;0;0;1;0;;;;;;;;;;;;;;;0;0;1
